timestamp,app,direction,protocol,src_ip,dst_ip,sport,dport,pkt_len,ip_ttl,tcp_flags,tcp_window,payload_len,inter_arrival_ms,flow_id
1777297843.117111,traffic,in,UDP,10.129.9.167,149.156.119.130,50611,53,74,128,0,0,46,0.0,10.129.9.167:50611-149.156.119.130:53-UDP
1777297843.117405,traffic,in,TCP,10.129.9.167,149.156.96.8,51345,53,52,128,2,65535,0,0.0,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.117723,traffic,in,TCP,149.156.96.8,10.129.9.167,53,51345,52,61,18,64240,0,0.317,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.118077,traffic,in,TCP,10.129.9.167,149.156.96.8,51345,53,40,128,16,255,0,0.355,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.118558,traffic,in,TCP,10.129.9.167,149.156.96.8,51345,53,88,128,24,255,48,0.481,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.119014,traffic,in,TCP,149.156.96.8,10.129.9.167,53,51345,40,61,16,502,0,0.456,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.121114,traffic,in,TCP,149.156.96.8,10.129.9.167,53,51345,585,61,24,502,545,2.1,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.123355,traffic,in,UDP,149.156.119.130,10.129.9.167,53,50611,494,61,0,0,466,6.244,10.129.9.167:50611-149.156.119.130:53-UDP
1777297843.123673,traffic,in,TCP,10.129.9.167,149.156.96.8,51345,53,40,128,17,253,0,2.559,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.123932,traffic,in,TCP,10.129.9.167,20.50.88.238,51346,443,52,128,2,65535,0,0.0,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.12416,traffic,in,TCP,149.156.96.8,10.129.9.167,53,51345,40,61,17,502,0,0.487,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.124392,traffic,in,TCP,10.129.9.167,149.156.96.8,51345,53,40,128,16,253,0,0.232,10.129.9.167:51345-149.156.96.8:53-TCP
1777297843.124633,traffic,in,TCP,20.50.88.238,10.129.9.167,443,51346,52,110,18,65535,0,0.702,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.124859,traffic,in,TCP,10.129.9.167,20.50.88.238,51346,443,40,128,16,255,0,0.226,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.125157,traffic,in,TCP,10.129.9.167,20.50.88.238,51346,443,590,128,24,255,550,0.298,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.125457,traffic,in,TCP,20.50.88.238,10.129.9.167,443,51346,706,110,24,16384,666,0.3,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.125759,traffic,in,TCP,20.50.88.238,10.129.9.167,443,51346,3790,110,16,16384,3750,0.303,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.126019,traffic,in,TCP,10.129.9.167,20.50.88.238,51346,443,52,128,16,255,0,0.26,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.126263,traffic,in,TCP,10.129.9.167,20.50.88.238,51346,443,40,128,16,255,0,0.244,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.126567,traffic,in,TCP,10.129.9.167,20.50.88.238,51346,443,120,128,24,255,80,0.305,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.126876,traffic,in,TCP,10.129.9.167,20.50.88.238,51346,443,676,128,24,255,636,0.309,10.129.9.167:51346-20.50.88.238:443-TCP
